id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118512714941,Summerside,Prince Edward Island,CA,46.3912,-63.7887,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118512698250,London,Ontario,CA,42.9834,-81.233,0,0,0,0,0,0,1,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
118512697586,North Vancouver,British Columbia,CA,49.3164,-123.0693,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118512696670,Ottawa,Ontario,CA,45.4112,-75.6981,0,0,0,0,1,0,0,0,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,
118512691151,Regina,Saskatchewan,CA,50.4501,-104.6178,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118512690818,Toronto,Ontario,CA,43.7673,-79.4111,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118512679023,Christchurch,Canterbury,NZ,-43.5333,172.6333,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118512676670,Fredericton,New Brunswick,CA,45.9454,-66.6656,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,
118512666724,Toronto,Ontario,CA,43.7064,-79.3986,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118512661451,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118512655875,Houston,Texas,US,29.7633,-95.3633,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118512655593,St. Catharines,Ontario,CA,43.1713,-79.2427,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
118512648717,Saint John,New Brunswick,CA,45.2708,-66.0562,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118512647542,Vancouver,British Columbia,CA,49.2497,-123.1193,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118512646776,Cleburne,Texas,US,32.3476,-97.3867,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118512640818,Miramichi,New Brunswick,CA,47.029,-65.5019,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118512638958,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118512638888,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
118512637630,Langley,British Columbia,CA,49.1011,-122.6588,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118512635906,Kindersley,Saskatchewan,CA,51.4668,-109.1682,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
