0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118488056171,Talkeetna,Alaska,United States,62.2586,-150.116,0,0,0,0,0,0,0,0,kenaitze tribe athabaskan ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118488023027,Giza,Giza,Egypt,30.008,31.2194,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
118488006698,Dartmouth,Nova Scotia,Canada,44.6747,-63.5094,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118488005233,Calgary,Alberta,Canada,51.0605,-114.1102,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118487951785,Freiburg im Breisgau,Baden-Wurttemberg,Germany,48.0211,7.8177,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118487884499,Eastbourne,England,United Kingdom,50.7666,0.2852,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487862145,Calgary,Alberta,Canada,51.0455,-114.1988,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487843578,Seattle,Washington,United States,47.6631,-122.3029,1,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487838956,Mission,British Columbia,Canada,49.6463,-122.5047,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487816424,Langley,British Columbia,Canada,49.1024,-122.6536,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
118487743466,Seabright,Nova Scotia,Canada,44.6131,-63.9274,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487740669,Creston,British Columbia,Canada,49.0998,-116.5247,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,
118487725885,Winnipeg,Manitoba,Canada,49.8538,-97.2903,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487720411,Regina,Saskatchewan,Canada,50.429,-104.5341,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487704275,Winnipeg,Manitoba,Canada,49.8538,-97.2903,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487703110,Toronto,Ontario,Canada,43.6426,-79.4002,0,0,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118487686586,Calgary,Alberta,Canada,50.9899,-114.1574,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118487671409,Guelph,Ontario,Canada,43.5698,-80.2421,1,0,0,0,0,0,0,0,historian,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487665111,Edmonton,Alberta,Canada,53.4593,-113.6546,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487661794,Kingston,Nova Scotia,Canada,44.9923,-64.9546,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487647479,Pittsburgh,Pennsylvania,United States,40.502,-79.9143,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487640841,Venice,Florida,United States,27.0602,-82.3533,0,0,0,0,0,0,0,0,researcher for writing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487627819,Ottawa,Ontario,Canada,45.3973,-75.6883,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487619345,Brampton,Ontario,Canada,43.6445,-79.7755,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,sociology
118487567670,Guelph,Ontario,Canada,43.5265,-80.3091,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
118487555343,Toronto,Ontario,Canada,43.709,-79.4057,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,
118487552255,Albany,New York,United States,42.6406,-73.7906,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
118487548175,Hamilton,Ontario,Canada,43.2262,-79.8565,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118487544957,Grand Falls-Windsor,Newfoundland and Labrador,Canada,48.9334,-55.6699,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,newfoundland history
118487534351,Victoria,British Columbia,Canada,48.4471,-123.3018,0,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118487531853,Calgary,Alberta,Canada,51.1047,-114.1148,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118487527264,Buffalo,New York,United States,42.9752,-78.8816,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pbs
118487484415,St. Catharines,Ontario,Canada,43.1373,-79.2928,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
