id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118550493700,Toronto,Ontario,CA,43.7064,-79.3986,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,
118550469569,London,Ontario,CA,42.9834,-81.233,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550438973,Cairo,Cairo,EG,30.0626,31.2497,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550381412,Burlington,Ontario,CA,43.3862,-79.8371,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550380996,Sarnia,Ontario,CA,42.9787,-82.4041,0,0,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118550375226,Markham,Ontario,CA,43.8668,-79.2663,0,0,0,0,0,0,0,0,rcmp vet,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,
118550370618,Lethbridge,Alberta,CA,49.7,-112.8186,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118550345355,Bern,Bern,CH,46.9481,7.4474,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
118550343792,Winnipeg,Manitoba,CA,49.8844,-97.147,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118550329748,Prince George,British Columbia,CA,53.9166,-122.753,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550329075,Prince George,British Columbia,CA,53.9166,-122.753,1,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118550322804,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550321194,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550279401,South Woodstock,Connecticut,US,41.889,-72.1476,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118550264938,Minnetonka Mills,Minnesota,US,44.9411,-93.4419,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
118550259318,Turin,Piedmont,IT,45.0705,7.6868,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550229778,Leeds,England,GB,53.7965,-1.5478,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550203929,London,Ontario,CA,42.9834,-81.233,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550138559,Monza,Lombardy,IT,45.58,9.2725,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,psychology 
118550136843,Calgary,Alberta,CA,51.0501,-114.0853,0,0,0,0,0,0,1,0,,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,
118550125668,Montréal,Quebec,CA,45.5088,-73.5878,0,0,0,0,1,0,0,0,writer,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118550111517,Oshawa,Ontario,CA,43.9001,-78.8496,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,
118550106878,Pittsburgh,Pennsylvania,US,40.4406,-79.9959,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118550087597,Kingston,Ontario,CA,44.2814,-76.6111,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550084906,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118550079441,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550078425,Vancouver,British Columbia,CA,49.2497,-123.1193,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550077579,Davis,California,US,38.5449,-121.7405,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
118550064558,Bethesda,Maryland,US,38.9807,-77.1003,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118550044815,Dartmouth,Nova Scotia,CA,44.6713,-63.5772,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118550035963,Vancouver,British Columbia,CA,49.2819,-123.119,0,0,0,0,1,0,0,0,retired rcmp member. ,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,
118550028103,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550024294,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118550021120,Ottawa,Ontario,CA,45.4112,-75.6981,0,0,0,0,0,0,0,0,graduated history b.a with considerable interest ,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,
118550014968,Jersey City,New Jersey,US,40.7282,-74.0776,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549997437,Kingston,Ontario,CA,44.2298,-76.481,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549990846,Montréal,Quebec,CA,45.5088,-73.5878,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549989585,London,Ontario,CA,42.9834,-81.233,0,0,0,0,0,0,0,0,historical house researcher,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,
118549989462,London,Ontario,CA,42.9834,-81.233,0,0,0,0,0,0,0,0,historical house researcher,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,
118549983187,Brossard,Quebec,CA,45.4501,-73.4658,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
118549954649,Calgary,Alberta,CA,51.0501,-114.0853,0,0,0,0,1,0,0,0,costume & railway historical researcher ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,costumes& railway & communication - historical
118549951413,Kingston,Ontario,CA,44.2298,-76.481,0,0,0,0,0,0,0,0,columnist,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549941245,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549937114,South Pasadena,Florida,US,27.755,-82.7376,0,0,1,0,0,1,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,
118549918282,Jacksonville,Florida,US,30.3322,-81.6556,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549916423,Ladner,British Columbia,CA,49.0894,-123.0824,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549910597,Arbutus Ridge,British Columbia,CA,49.2497,-123.1693,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549903521,Milton,Ontario,CA,43.5168,-79.8829,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549900364,North Battleford,Saskatchewan,CA,52.7797,-108.2967,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549896172,Newmarket,Ontario,CA,44.0501,-79.4663,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549892325,Collingwood,Ontario,CA,44.4834,-80.2164,1,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549885965,Boutiliers Point,Nova Scotia,CA,44.6657,-63.9505,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549878887,Calgary,Alberta,CA,51.0412,-114.0762,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118549865017,Calgary,Alberta,CA,51.0501,-114.0853,0,0,0,0,0,0,0,0,freelance historical researcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118549860641,Montréal,Quebec,CA,45.5088,-73.5878,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
118549853236,Ottawa,Ontario,CA,45.4112,-75.6981,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549850962,Tlalpan,Mexico City,MX,19.2951,-99.1621,0,0,0,0,0,0,0,0,writer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549848798,Calgary,Alberta,CA,51.0501,-114.0853,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549848509,Vernon,British Columbia,CA,50.2673,-119.2734,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,economic history 
118549848227,Toronto,Ontario,CA,43.7064,-79.3986,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549836685,Lower Sackville,Nova Scotia,CA,44.776,-63.6786,1,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,
118549824486,Ajax,Ontario,CA,43.8501,-79.0329,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,linguistics and shorthand systems
118549815168,Pembroke,Ontario,CA,45.8168,-77.1162,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118549813935,Toronto,Ontario,CA,43.7064,-79.3986,0,0,0,0,0,0,0,0,local historian,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
118549775269,Vancouver,British Columbia,CA,49.2497,-123.1193,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
118549747571,Victoria,British Columbia,CA,48.4359,-123.3516,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549734444,Fergus,Ontario,CA,43.706,-80.3776,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549729572,Grande Prairie,Alberta,CA,55.1667,-118.8027,0,0,0,0,0,0,0,0,retired rcmp member ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118549725073,Fresno,California,US,36.7487,-119.7867,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118549706437,Rochdale,England,GB,53.6177,-2.1552,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
