0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"Dawson City, Canada",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Saint-Felix-de-Valois, Canada",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Livorno, Italy",0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1
"Longueuil, Canada",0,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0
"Blanchard, United States",0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0
"Hawkesbury, Canada",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Puslinch, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Hinchinbrooke, Canada",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Brockville, Canada",0,0,0,0,0,3,0,0,4,1,0,0,1,0,0,2
"Rome, Italy",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Bathurst, Canada",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Vanløse, Denmark",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Glasgow, United Kingdom",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Surrey, Canada",1,1,2,1,1,1,2,1,6,2,1,1,1,1,1,2
"Winston-Salem, United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Welland, Canada",0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"Coquitlam, Canada",0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0
"Cambridge, Canada",0,0,0,0,0,3,0,0,6,0,0,0,0,0,2,0
"Oakland, United States",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Squamish, Canada",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"Campbellford, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eufaula, United States",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Riverton, United States",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Richibucto, Canada",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"Orléans, Canada",0,2,1,1,1,0,1,1,2,2,2,2,1,1,1,1
"Peterborough, Canada",0,1,1,2,0,1,1,0,5,1,2,0,0,0,0,1
"Sydney, Canada",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"Sebring, United States",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Whitby, Canada",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Courtenay, Canada",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Miami, United States",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pointe-Claire, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Truro, Canada",0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
"London, United Kingdom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kansas City, United States",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Delta, Canada",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Gloucester, Canada",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Salem, United States",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ellensburg, United States",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Prince George, Canada",0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"Crystal Beach, Canada",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
