0,1,2,3,4,5,6,7,8
"Melbourne, Australia",1,0,0,0,0,1,0,0
N/A,43,12,3,5,58,9,50,6
"Hamtramck, United States",1,0,0,0,0,0,0,0
"Watsonville, United States",0,0,0,0,1,0,0,0
"Napanee, Canada",0,0,0,0,0,1,0,0
"Portland, United States",1,0,0,0,1,0,1,0
"Oxford, United Kingdom",0,0,0,0,0,0,1,0
"Canyon Country, United States",1,0,0,0,1,0,0,0
"Grimsby, Canada",2,0,0,0,3,0,0,0
"Lincoln, United States",0,0,0,0,1,0,0,0
"Corner Brook, Canada",0,0,0,0,0,0,1,0
"Niles, United States",1,0,0,0,0,0,0,0
"Sackville, Canada",0,3,0,0,0,0,1,0
"Acton, United States",1,0,0,0,0,0,0,0
"Barrie, Canada",0,0,0,0,1,0,0,0
"Duncan, Canada",0,0,0,0,1,0,0,0
"Norwich, United Kingdom",0,0,0,0,1,0,0,0
"Etobicoke, Canada",0,0,0,0,1,0,1,0
"Zwolle, The Netherlands",0,0,0,0,0,0,0,0
"New Minas, Canada",0,0,0,0,1,0,0,0
"Poplar, United Kingdom",1,0,0,0,1,1,0,0
"Beaverton, United States",0,0,0,0,1,0,0,0
"Kent, United States",0,0,0,0,0,0,1,0
"Drumheller, Canada",0,0,1,0,0,0,0,0
"Palm Springs, United States",0,0,0,0,1,0,0,0
"Williams Lake, Canada",1,0,0,0,0,0,0,0
"Scarborough, Canada",3,0,0,1,2,0,1,1
"Red Deer, Canada",0,0,0,0,1,0,0,0
"Weehawken, United States",1,0,0,0,0,0,0,0
"Port Saint Lucie, United States",0,0,0,0,1,0,0,0
"Greater Sudbury, Canada",1,0,0,0,0,0,1,0
"Stayner, Canada",0,0,0,0,1,0,0,0
"Temiscaming, Canada",0,0,0,1,0,0,0,0
"Leeds, United Kingdom",0,0,0,0,0,0,1,0
"St. Albert, Canada",0,0,0,0,0,0,1,0
"Campbell River, Canada",1,0,0,0,2,0,0,0
"Quispamsis, Canada",0,0,0,0,1,0,0,0
"Howell, United States",1,0,0,0,0,0,0,0
"Digby, Canada",1,0,0,0,0,0,0,0
"Attleboro, United States",1,0,0,0,1,0,0,0
"Loretto, Canada",1,1,0,0,0,0,0,0
"Dundas, Canada",1,0,0,0,0,0,1,0
"Ossining, United States",1,0,0,0,0,0,0,0
"Merritt, Canada",0,0,0,0,1,0,1,1
"Cassopolis, United States",1,0,0,0,0,0,0,0
"Fall River, Canada",0,0,0,0,0,0,1,0
"Stoney Creek, Canada",1,0,0,0,1,0,1,0
"Chatham, Canada",2,0,0,0,0,0,0,0
"Oshawa, Canada",0,0,0,0,1,0,1,0
"Sturgeon Falls, Canada",0,0,0,0,1,0,0,0
"Brandon, Canada",0,0,0,0,1,0,1,0
"Collingwood, Canada",1,0,0,0,1,0,0,0
"Woodbridge, Canada",0,0,0,0,1,0,0,0
"Airdrie, Canada",1,0,0,0,0,0,1,0
"Fenelon Falls, Canada",0,0,0,0,1,0,0,0
"Pensacola, United States",1,0,0,0,0,0,0,0
"Penticton, Canada",1,0,0,0,1,0,0,0
"Summerland, Canada",1,0,0,0,0,0,0,0
"West Paris, United States",1,0,0,0,0,0,0,0
"Walkerton, Canada",2,0,0,0,0,0,0,0
"Kamloops, Canada",0,0,0,0,2,0,1,0
"Mitchell/Ontario, Canada",0,1,0,0,0,0,0,0
"Hoffman, United States",0,0,0,0,0,0,0,1
"Saint John, Canada",3,0,0,0,1,0,0,0
"Milverton, Canada",0,0,0,0,1,0,0,0
"Paddle Prairie, Canada",0,0,0,0,0,0,0,0
"St. Stephen, Canada",2,0,0,0,0,0,0,0
"Gatineau, Canada",0,0,0,0,1,0,0,0
"Waterloo, Canada",0,0,0,0,0,1,4,0
"Verdun, Canada",0,0,0,0,1,1,0,0
"Ellicott City, United States",0,0,0,0,0,0,1,0
"Mississauga, Canada",0,0,0,0,1,0,0,0
"Seixal, Portugal",0,0,0,0,0,0,1,0
"Picton, Canada",0,0,0,0,0,0,0,0
"Middle Sackville, Canada",0,0,0,0,0,0,1,0
"North Vancouver, Canada",0,0,0,0,0,1,0,0
"Warkworth, Canada",0,0,0,0,1,0,0,0
"Beaconsfield, Canada",1,0,0,0,0,0,0,0
"Listowel, Canada",0,0,0,0,1,0,0,0
"Bobcaygeon, Canada",0,0,0,0,1,0,0,0
"Caledon, Canada",0,0,0,0,1,0,0,0
"Mutxamel, Spain",1,0,0,0,0,0,0,0
"Cochrane, Canada",0,0,0,0,1,0,0,0
"Augusta, United States",1,0,0,0,1,0,0,0
"Perth, United Kingdom",0,0,0,0,1,0,0,0
"Amsterdam, United States",1,0,0,0,0,0,0,0
"Brant, Canada",0,0,0,0,1,0,0,0
"Pickering, Canada",1,0,0,0,0,0,0,0
"Cortland, United States",1,0,0,0,0,0,0,0
"Stratford, Canada",0,0,0,0,1,0,0,0
"Amherst, Canada",0,0,0,0,0,1,0,0
"Bradenton, United States",1,0,0,0,0,0,0,0
"Columbus, United States",1,0,0,0,0,0,0,0
"Bedford, Canada",0,1,0,1,0,0,1,0
"Washington, United States",0,0,0,1,0,0,0,0
"Abbotsford, Canada",0,0,0,0,0,0,0,0
"Bethlehem, United States",0,0,0,0,0,1,0,0
"Lincoln Park, United States",1,0,0,0,0,0,0,0
"Puerto Vallarta, Mexico",0,0,0,0,1,0,0,0
"Pierceland, Canada",1,0,0,0,0,0,0,0
"Brighton, Canada",1,0,0,0,0,0,0,0
"Clinton, United States",1,0,0,0,0,0,0,0
"Laval, Canada",2,0,0,0,0,0,1,0
"Big Beach, Canada",1,0,0,0,0,0,0,0
"Saint-Lambert, Canada",0,0,0,0,0,0,0,0
"Sevierville, United States",0,0,0,0,1,0,0,0
"Vernon River, Canada",0,0,0,1,0,0,0,0
